DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outliers
GDSC2,343,16105483,924188,KNS-81-FD,SIDM01210,LGG,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.537238,0.897907,0.043956,0.63797,253.97554935420607,Low,False
GDSC2,343,16105663,924189,KP-N-RT-BM-1,SIDM00557,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.505415,0.8646,0.077598,-0.234879,90.50589620318249,Low,False
GDSC2,343,16105841,924238,K5,SIDM00056,THCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.996276,0.884291,0.13952,0.180355,147.8614963317042,Low,False
GDSC2,343,16106121,924239,L-363,SIDM00312,MM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.273623,0.898525,0.132228,-0.430958,71.78122847356924,Low,False
GDSC2,343,16106401,924240,MDA-MB-415,SIDM00630,BRCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.803628,0.902609,0.06803,0.017389,121.95205796484207,Low,False
GDSC2,343,16106686,924241,NCI-H250,SIDM00721,SCLC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.418349,0.826413,0.15913,-0.30853,82.9592065808854,Low,False
GDSC2,343,16106941,924244,NCI-H1975,SIDM00759,LUAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.298795,0.891382,0.122592,0.436264,200.09554950739673,Low,False
GDSC2,343,16107222,924247,SW954,SIDM01157,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.686581,0.80609,0.084034,-0.927554,39.90816741236542,Low,False
GDSC2,343,16107402,924248,TE-441-T,SIDM01173,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.461794,0.766039,0.110461,-1.117707,31.87410740161792,Low,False
GDSC2,343,16107585,924250,MKN7,SIDM00560,STAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.620148,0.93046,0.089236,1.554034,750.0560972000592,Low,False
GDSC2,343,16107772,925338,MDA-MB-157,SIDM00529,BRCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.45071,0.858124,0.093344,-0.281155,85.68776071982208,Low,False
GDSC2,343,16108059,925339,MMAc-SF,SIDM01242,SKCM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.020764,0.935251,0.090062,1.046998,411.8931619227868,Low,False
GDSC2,343,16108238,925340,MKN45,SIDM00247,STAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.987346,0.861189,0.112092,0.1728,146.54697125945387,Low,False
