DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outlier
GDSC2,343,15985768,753615,U-266,SIDM00417,MM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.562674,0.968981,0.108964,0.306026,12.970453979626242,Low,False
GDSC2,343,15986048,753616,BE2-M17,SIDM01229,NB,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.661731,0.952356,0.065738,-0.167738,5.268422595463967,Low,False
GDSC2,343,15986331,753618,KELLY,SIDM01009,NB,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,0.935088,0.959529,0.103102,-0.549845,2.5474376223863886,Medium,False
GDSC2,343,15986604,753620,SIMA,SIDM00395,NB,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,0.366389,0.899057,0.125444,-0.848898,1.4425162723571112,Medium,False
GDSC2,343,15986883,753621,TE-1,SIDM00369,ESCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.299606,0.950886,0.111935,0.167691,9.970253401001951,Low,False
GDSC2,343,15987093,753622,TE-10,SIDM00349,ESCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.776532,0.965444,0.163029,-0.10737,5.90932729460781,Low,False
GDSC2,343,15987348,753623,TE-8,SIDM00326,ESCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.834704,0.937107,0.072255,-0.076779,6.263279940164583,Low,False
GDSC2,343,15987619,753624,CAPAN-1,SIDM00934,PAAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,10.0,5.307238,0.978193,0.105213,1.749264,201.79210817616055,Low,False
GDSC2,343,15987899,905933,OVCAR-3,SIDM00105,OV,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.646245,0.954763,0.075212,-0.175881,5.187464281296985,Low,False
GDSC2,343,15988180,905934,PC-3,SIDM00088,PRAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.034149,0.93213,0.107082,0.0281,7.64574282901834,Low,False
GDSC2,343,15988463,905935,DU-145,SIDM00120,PRAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.219044,0.976267,0.049316,0.65118,25.004204731850734,Low,False
GDSC2,343,15988745,905936,HCT-116,SIDM00783,COREAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.641371,0.961525,0.02952,-0.178444,5.162242096784837,Low,False
GDSC2,343,15989028,905937,HCT-15,SIDM00789,COREAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.343865,0.971707,0.093072,0.190965,10.421437680662773,Low,False
GDSC2,343,15989603,905939,HT-29,SIDM00136,COREAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.787383,0.967706,0.083891,0.42419,16.238468076185395,Low,False
GDSC2,343,15989889,905940,K-562,SIDM00791,LCML,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.274352,0.977668,0.109112,0.154411,9.721617362994712,Low,False
